created_at,full_text,tweet_id,favorite_count,lang,retweet_count,name,Rating_Numerator,Rating_Denominator,DogStage,Predicted_Content,Is_Dog,Predict_jpg_url,Predict_Confidence
2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,892420643555336193,38629,English,8542,Phineas,13.0,10,None,orange,False,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,0.0970486
2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",892177421306343426,33105,English,6282,Tilly,13.0,10,None,Chihuahua,True,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,0.323581
2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,891815181378084864,24923,English,4161,Archie,12.0,10,None,Chihuahua,True,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.716012
2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,891689557279858688,42024,English,8671,Darla,13.0,10,None,paper_towel,False,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,0.17027799999999998
2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",891327558926688256,40172,English,9422,Franklin,12.0,10,None,basset,True,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,0.555712
2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,891087950875897856,20142,English,3118,None,13.0,10,None,Chesapeake_Bay_retriever,True,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,0.425595
2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",890971913173991426,11807,English,2076,Jax,13.0,10,None,Appenzeller,True,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,0.34170300000000003
2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,890729181411237888,65259,English,18931,None,13.0,10,None,Pomeranian,True,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,0.566142
2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,890609185150312448,27684,English,4275,Zoey,13.0,10,None,Irish_terrier,True,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,0.487574
2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,890240255349198849,31823,English,7435,Cassie,14.0,10,doggo,Pembroke,True,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,0.511319
